date,department_name,department_ID,department_hierarchy_id,department_type,department_url,category_name,category_ID,category_hierarchy_ID,category_type,category_url,category_legislative_ID,category_legislative_name,aisle_name,aisle_ID,aisle_hierarchy_ID,aisle_type,aisle_url,aisle_child,shelve_name,shelve_ID,shelve_hierarchy_ID,shelve_type,shelve_url
2024-06-20,Events & Inspiration,11,1215677638945,,,Big Night In,1110,1215677638945-1215684161169,dept,,,,Drinks,,1215677638945-1215684161169-1215686355714,aisle,,,Speciality & Earl Grey Tea,11101316,1215677638945-1215684161169-1215686355714-1215656940265,shelf,
2024-06-20,Events & Inspiration,11,1215677638945,,,Big Night In,1110,1215677638945-1215684161169,dept,,,,Tableware & Party,111014.0,1215677638945-1215684161169-1215686355880,aisle,,[],,11101499,,,
2024-06-20,Events & Inspiration,11,1215677638945,,,Big Night In,1110,1215677638945-1215684161169,dept,,,,Entertainment,,1215677638945-1215684161169-1215686355715,aisle,,,Board Games & Puzzles,11101510,1215677638945-1215684161169-1215686355715-1215187351430,shelf,
2024-06-20,Events & Inspiration,11,1215677638945,,,Big Night In,1110,1215677638945-1215684161169,dept,,,,Entertainment,,1215677638945-1215684161169-1215686355715,aisle,,,PS5 Games,11101511,1215677638945-1215684161169-1215686355715-1215686111174,shelf,
2024-06-20,Events & Inspiration,11,1215677638945,,,Big Night In,1110,1215677638945-1215684161169,dept,,,,Entertainment,,1215677638945-1215684161169-1215686355715,aisle,,,PS4 Games,11101512,1215677638945-1215684161169-1215686355715-1215285755330,shelf,
2024-06-20,Events & Inspiration,11,1215677638945,,,Big Night In,1110,1215677638945-1215684161169,dept,,,,Entertainment,,1215677638945-1215684161169-1215686355715,aisle,,,Xbox Series X/S Games,11101513,1215677638945-1215684161169-1215686355715-1215686111175,shelf,
2024-06-20,Events & Inspiration,11,1215677638945,,,Big Night In,1110,1215677638945-1215684161169,dept,,,,Entertainment,,1215677638945-1215684161169-1215686355715,aisle,,,Nintendo Switch Games,11101514,1215677638945-1215684161169-1215686355715-1215675848216,shelf,
2024-06-20,Events & Inspiration,11,1215677638945,,,Big Night In,1110,1215677638945-1215684161169,dept,,,,Pamper Night,,1215677638945-1215684161169-1215686355716,aisle,,,Bubble Bath & Bath Soaks,11101610,1215677638945-1215684161169-1215686355716-1215430958047,shelf,
2024-06-20,Events & Inspiration,11,1215677638945,,,Big Night In,1110,1215677638945-1215684161169,dept,,,,Pamper Night,,1215677638945-1215684161169-1215686355716,aisle,,,Wax Cubes and Burners,11101611,1215677638945-1215684161169-1215686355716-1215685992274,shelf,
2024-06-20,Events & Inspiration,11,1215677638945,,,Big Night In,1110,1215677638945-1215684161169,dept,,,,Pamper Night,,1215677638945-1215684161169-1215686355716,aisle,,,Body Scrubs & Exfoliators,11101612,1215677638945-1215684161169-1215686355716-1215665619058,shelf,
